y,name,precision,recall,f1-score,support,accuracy
y2,AppGallery &amp; Games ,0.64,0.61,0.62,25.0,0.72
y2,In-App Purchase ,0.44,0.47,0.45,17.0,0.82
y3,Problem/Fault,0.42,0.44,0.42,16.0,0.62
y3,Suggestion,0.71,0.65,0.67,19.0,0.79
y4,AppGallery-Install/Upgrade,1.0,1.0,1.0,4.0,1.0
y4,AppGallery-Use,0.25,0.5,0.33,2.0,0.5
y4,Coupon/Gifts/Points Issues,0.4,0.5,0.44,5.0,0.8
y4,General,1.0,1.0,1.0,2.0,1.0
y4,Invoice,1.0,1.0,1.0,2.0,1.0
y4,Payment,0.46,0.5,0.48,12.0,0.92
y4,Payment issue,1.0,1.0,1.0,2.0,1.0
y4,Third Party APPs,1.0,1.0,1.0,3.0,1.0
y4,VIP / Offers / Promotions,1.0,1.0,1.0,3.0,1.0
